Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
102,70153,0,Green-C,197.29325215626585,612.6815628192032,Hynes Convention Center
103,70153,0,Green-D,221.6988014590933,626.7126797385621,Hynes Convention Center
104,70154,1,Green-B,151.24919700214133,612.388679245283,Copley
105,70154,1,Green-C,152.98587796429524,612.4594160192875,Copley
106,70154,1,Green-D,153.49565689467968,627.8294213973799,Copley
107,70154,1,Green-E,158.62823301909597,559.6159844054581,Copley
108,70155,0,Green-B,146.07315154693237,610.2229568897117,Copley
109,70155,0,Green-C,147.155370177268,611.9910620399579,Copley
110,70155,0,Green-D,178.93865523707473,628.7760064847339,Copley
111,70155,0,Green-E,141.9356243949661,559.5743341404358,Copley
112,70156,1,Green-B,154.17830731306492,636.5746206896551,Arlington
113,70156,1,Green-C,157.2426273458445,626.3775620280475,Arlington
114,70156,1,Green-D,158.60075942500677,638.6346782988004,Arlington
115,70156,1,Green-E,163.4263946915704,577.7578686493184,Arlington
116,70157,0,Green-B,145.94469555969158,611.4501072961374,Arlington
117,70157,0,Green-C,147.3910290237467,611.9103246407664,Arlington
118,70157,0,Green-D,178.1747967479675,629.3717878622198,Arlington
119,70157,0,Green-E,142.73743289409467,558.496826171875,Arlington
120,70158,1,Green-B,156.05334098078578,634.9379151025123,Boylston
121,70158,1,Green-C,161.16345877621373,639.2520231213873,Boylston
122,70158,1,Green-D,161.65763620125037,666.017365269461,Boylston
123,70158,1,Green-E,162.33265254020935,572.0712998712999,Boylston
124,70159,0,Green-B,142.81353179972936,610.4015834015834,Boylston
125,70159,0,Green-C,147.05430107526882,611.1721333694768,Boylston
126,70159,0,Green-D,177.77065487703786,628.7853957636567,Boylston
127,70159,0,Green-E,145.29222720478325,558.6395812562313,Boylston
128,70162,1,Green-D,606.2292452830188,606.2425100259495,Woodland
129,70163,0,Green-D,620.7395459976105,620.7395459976105,Woodland
130,70164,1,Green-D,608.0283822138127,608.0203453986279,Waban
131,70165,0,Green-D,618.4030935083197,618.4030935083197,Waban
132,70166,1,Green-D,609.5489833641404,609.5461893764434,Eliot
133,70167,0,Green-D,618.9716937354989,619.0392202367138,Eliot
134,70168,1,Green-D,610.6236111111111,610.5640906987505,Newton Highlands
135,70169,0,Green-D,619.5980483271376,619.5261324041812,Newton Highlands
136,70170,1,Green-D,609.8664510166359,609.8149688149688,Newton Centre
137,70171,0,Green-D,620.1228518346493,620.1228518346493,Newton Centre
138,70172,1,Green-D,611.0286705202312,611.0867252543941,Chestnut Hill
139,70173,0,Green-D,617.234973916988,617.234973916988,Chestnut Hill
