stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70151,0,Cleveland Circle,524.2151734010021,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green,2018
70151,0,Riverside,501.8428793416647,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green,2018
70152,1,Government Center,169.5518661039391,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green,2018
70152,1,Lechmere,201.6153846153846,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green,2018
70152,1,North Station,174.52237911852802,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green,2018
70152,1,Park St,176.47146758369576,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green,2018
70153,0,Boston College,499.91295738080044,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green,2018
70153,0,Cleveland Circle,525.753826328759,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green,2018
70153,0,Riverside,512.0106183635228,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green,2018
70154,1,Government Center,127.53655785978322,Copley,Copley - Green Line - Park Street & North,green,2018
70154,1,Lechmere,136.4932821098536,Copley,Copley - Green Line - Park Street & North,green,2018
70154,1,North Station,132.33696729435084,Copley,Copley - Green Line - Park Street & North,green,2018
70154,1,Park St,134.8720384895286,Copley,Copley - Green Line - Park Street & North,green,2018
70155,0,Boston College,506.68796084688023,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green,2018
70155,0,Cleveland Circle,526.4507336130164,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green,2018
70155,0,Heath St,526.5664403076198,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green,2018
70155,0,Riverside,515.5090120309495,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green,2018
70156,1,Government Center,125.16306934413225,Arlington,Arlington - Green Line - Park Street & North,green,2018
70156,1,Lechmere,137.14986432036838,Arlington,Arlington - Green Line - Park Street & North,green,2018
70156,1,North Station,133.3085655092043,Arlington,Arlington - Green Line - Park Street & North,green,2018
70156,1,Park St,134.45730989403597,Arlington,Arlington - Green Line - Park Street & North,green,2018
70157,0,Boston College,502.93526518391786,Arlington,Arlington - Green Line - Copley & West,green,2018
70157,0,Cleveland Circle,525.0151655629139,Arlington,Arlington - Green Line - Copley & West,green,2018
70157,0,Heath St,515.1438863988607,Arlington,Arlington - Green Line - Copley & West,green,2018
70157,0,Riverside,514.387532330893,Arlington,Arlington - Green Line - Copley & West,green,2018
70158,1,Government Center,124.38358830546429,Boylston,Boylston - Green Line - Park Street & North,green,2018
70158,1,Lechmere,135.4506363599398,Boylston,Boylston - Green Line - Park Street & North,green,2018
70158,1,North Station,133.62233070256553,Boylston,Boylston - Green Line - Park Street & North,green,2018
70158,1,Park St,135.9759708737864,Boylston,Boylston - Green Line - Park Street & North,green,2018
70159,0,Boston College,505.56977894374677,Boylston,Boylston - Green Line - Copley & West,green,2018
70159,0,Cleveland Circle,526.3630635211922,Boylston,Boylston - Green Line - Copley & West,green,2018
70159,0,Heath St,515.6914412528264,Boylston,Boylston - Green Line - Copley & West,green,2018
70159,0,Riverside,515.4180257699146,Boylston,Boylston - Green Line - Copley & West,green,2018
70160,1,Government Center,733.0907604548922,Riverside,Riverside - Green Line - Park Street & North,green,2018
70161,0,Riverside,827.1094570928196,Riverside,Riverside - Green Line - Park Street & North,green,2018
70162,1,Government Center,520.0479644960315,Woodland,Woodland - Green Line - Park Street & North,green,2018
70162,1,Lechmere,510.7142857142857,Woodland,Woodland - Green Line - Park Street & North,green,2018
70162,1,North Station,380.0,Woodland,Woodland - Green Line - Park Street & North,green,2018
70163,0,Riverside,536.6605120742189,Woodland,Woodland - Green Line - (D) Riverside,green,2018
70164,1,Government Center,522.8021705160862,Waban,Waban - Green Line - Park Street & North,green,2018
70164,1,Lechmere,337.3333333333333,Waban,Waban - Green Line - Park Street & North,green,2018
70165,0,Riverside,532.494850997904,Waban,Waban - Green Line - (D) Riverside,green,2018
70166,1,Government Center,519.6532703921068,Eliot,Eliot - Green Line - Park Street & North,green,2018
70166,1,Lechmere,335.0,Eliot,Eliot - Green Line - Park Street & North,green,2018
70166,1,North Station,639.0,Eliot,Eliot - Green Line - Park Street & North,green,2018
70167,0,Riverside,528.6677718535776,Eliot,Eliot - Green Line - (D) Riverside,green,2018
70168,1,Government Center,517.3700723712218,Newton Highlands,Newton Highlands - Green Line - Park Street & North,green,2018
70168,1,Lechmere,478.0,Newton Highlands,Newton Highlands - Green Line - Park Street & North,green,2018
70168,1,North Station,258.0,Newton Highlands,Newton Highlands - Green Line - Park Street & North,green,2018
70169,0,Riverside,528.1336333355392,Newton Highlands,Newton Highlands - Green Line - (D) Riverside,green,2018
70170,1,Government Center,513.9565651416677,Newton Centre,Newton Centre - Green Line - Park Street & North,green,2018
70170,1,Lechmere,309.6666666666667,Newton Centre,Newton Centre - Green Line - Park Street & North,green,2018
70171,0,Riverside,526.2512765208205,Newton Centre,Newton Centre - Green Line - (D) Riverside,green,2018
70172,1,Government Center,528.3559002971128,Chestnut Hill,Chestnut Hill - Green Line - Park Street & North,green,2018
70172,1,Lechmere,595.0,Chestnut Hill,Chestnut Hill - Green Line - Park Street & North,green,2018
70172,1,North Station,509.0,Chestnut Hill,Chestnut Hill - Green Line - Park Street & North,green,2018
70172,1,Park St,523.0,Chestnut Hill,Chestnut Hill - Green Line - Park Street & North,green,2018
70173,0,Riverside,523.4589530955202,Chestnut Hill,Chestnut Hill - Green Line - (D) Riverside,green,2018
70174,1,Government Center,519.3722190932132,Reservoir,Reservoir - Green Line - Park Street & North,green,2018
70174,1,Lechmere,610.5,Reservoir,Reservoir - Green Line - Park Street & North,green,2018
70174,1,North Station,331.6666666666667,Reservoir,Reservoir - Green Line - Park Street & North,green,2018
70174,1,Park St,547.0,Reservoir,Reservoir - Green Line - Park Street & North,green,2018
70175,0,Riverside,528.95338321704,Reservoir,Reservoir - Green Line - (D) Riverside,green,2018
70176,1,Government Center,521.9691306173877,Beaconsfield,Beaconsfield - Green Line - Park Street & North,green,2018
70176,1,Lechmere,953.0,Beaconsfield,Beaconsfield - Green Line - Park Street & North,green,2018
70176,1,North Station,389.3333333333333,Beaconsfield,Beaconsfield - Green Line - Park Street & North,green,2018
70176,1,Park St,1090.0,Beaconsfield,Beaconsfield - Green Line - Park Street & North,green,2018
70177,0,Riverside,533.7481595737222,Beaconsfield,Beaconsfield - Green Line - (D) Riverside,green,2018
70178,1,Government Center,520.2061660589837,Brookline Hills,Brookline Hills - Green Line - Park Street & North,green,2018
70178,1,Lechmere,715.3333333333334,Brookline Hills,Brookline Hills - Green Line - Park Street & North,green,2018
70178,1,North Station,149.0,Brookline Hills,Brookline Hills - Green Line - Park Street & North,green,2018
70178,1,Park St,687.0,Brookline Hills,Brookline Hills - Green Line - Park Street & North,green,2018
70179,0,Riverside,536.2155164297147,Brookline Hills,Brookline Hills - Green Line - (D) Riverside,green,2018
